log_name,detected_cps,known_cps,f1_score
gradual_drift_00.xes,"[200, 413, 613, 813, 1013, 1213]","[500, 1000]",0.5
gradual_drift_01.xes,"[200, 425, 626, 869, 1087, 1302]","[500, 1000]",0.5
gradual_drift_02.xes,"[231, 442, 651, 887, 1105, 1319]","[500, 1000]",0.5
gradual_drift_03.xes,"[200, 412, 615, 830, 1044, 1244]","[500, 1000]",0.5
gradual_drift_04.xes,"[201, 401, 601, 809, 1009, 1212]","[500, 1000]",0.5
gradual_drift_05.xes,"[201, 403, 627, 828, 1028, 1233]","[500, 1000]",0.5
gradual_drift_06.xes,"[200, 401, 627, 827, 1028, 1239]","[500, 1000]",0.5
gradual_drift_07.xes,"[200, 416, 616, 816, 1016, 1220]","[500, 1000]",0.5
gradual_drift_08.xes,"[208, 416, 649, 862, 1070, 1278]","[500, 1000]",0.5
gradual_drift_09.xes,"[200, 408, 608, 808, 1025, 1225]","[500, 1000]",0.5
recurring_drift_00.xes,"[200, 400, 601, 836, 1053, 1259, 1469]","[500, 1000]",0.4444444444444445
recurring_drift_01.xes,"[200, 424, 628, 829, 1043, 1261]","[500, 1000]",0.5
recurring_drift_02.xes,"[207, 419, 637, 841, 1041, 1252, 1478]","[500, 1000]",0.4444444444444445
recurring_drift_03.xes,"[219, 446, 657, 857, 1057, 1260]","[500, 1000]",0.5
recurring_drift_04.xes,"[200, 427, 627, 835, 1036, 1277, 1484]","[500, 1000]",0.4444444444444445
recurring_drift_05.xes,"[205, 453, 696, 929, 1138, 1339]","[500, 1000]",0.5
recurring_drift_06.xes,"[200, 400, 600, 800, 1008, 1231, 1454]","[500, 1000]",0.4444444444444445
recurring_drift_07.xes,"[203, 403, 649, 849, 1049, 1249, 1449]","[500, 1000]",0.4444444444444445
recurring_drift_08.xes,"[211, 413, 614, 815, 1030, 1230, 1430]","[500, 1000]",0.4444444444444445
recurring_drift_09.xes,"[200, 500, 1000, 1200]","[500, 1000]",0.6666666666666666
sudden_drift_00.xes,"[200, 400, 646, 846, 1095, 1295]","[500, 1000]",0.5
sudden_drift_01.xes,"[213, 448, 648, 848, 1059, 1265]","[500, 1000]",0.5
sudden_drift_02.xes,"[236, 447, 654, 854, 1055, 1257, 1469]","[500, 1000]",0.4444444444444445
sudden_drift_03.xes,"[200, 417, 617, 817, 1043, 1263, 1466]","[500, 1000]",0.4444444444444445
sudden_drift_04.xes,"[234, 443, 677, 920, 1120, 1329]","[500, 1000]",0.5
sudden_drift_05.xes,"[200, 423, 643, 881, 1087, 1315]","[500, 1000]",0.5
sudden_drift_06.xes,"[210, 410, 610, 822, 1022, 1227, 1429]","[500, 1000]",0.4444444444444445
sudden_drift_07.xes,"[200, 400, 600, 800, 1004, 1204, 1422]","[500, 1000]",0.4444444444444445
sudden_drift_08.xes,"[225, 426, 626, 828, 1032, 1233, 1435]","[500, 1000]",0.4444444444444445
sudden_drift_09.xes,"[200, 502, 1000, 1236, 1436]","[500, 1000]",0.5714285714285715
sudden_drift_log.xes,"[238, 444]","[500, 1000]",0.5
